Index,x,y,size,angle,response
300,781.79,364.555,16.7944,214.227,0.161014
301,781.79,364.555,16.7944,253.896,0.161014
302,781.79,364.555,16.7944,309.005,0.161014
303,781.79,364.555,16.7944,359.76,0.161014
304,783.268,728.101,6.2834,274.285,0.0435331
305,797.661,62.811,6.23651,135.499,0.0455088
306,797.661,62.811,6.23651,255.259,0.0455088
307,797.675,51.9208,7.20088,316.415,0.0469604
308,797.824,39.7748,7.87847,73.928,0.043148
309,797.824,39.7748,7.87847,319.699,0.043148
310,798.684,502.064,5.00413,60.6972,0.0288305
311,808.974,68.6379,11.8394,87.931,0.0649458
312,810.251,381.76,102.991,346.303,0.0500689
313,816.014,845.754,6.50339,204.794,0.0732535
314,816.014,845.754,6.50339,263.781,0.0732535
315,817.654,62.2766,5.97636,279.457,0.0346319
316,817.654,62.2766,5.97636,311.194,0.0346319
317,819.911,605.267,85.5203,357.814,0.0172427
318,835.368,478.104,41.3882,257.845,0.0379007
319,843.043,41.2744,5.89813,110.566,0.0253229
320,844.02,752.229,12.3073,107.689,0.061701
321,846.68,768.24,7.60019,15.6971,0.117645
322,846.68,768.24,7.60019,211.074,0.117645
323,846.995,278.957,4.59037,289.788,0.0369815
324,848.072,758.524,3.44083,268.313,0.0240079
325,854.955,46.6444,6.05331,119.204,0.024239
326,861.923,766.565,12.4446,136.022,0.0584706
327,863.557,772.548,15.1965,135.571,0.0566457
328,864.992,34.8141,5.43904,300.497,0.0224412
329,871.697,64.1914,9.12783,138.695,0.0404588
330,871.697,64.1914,9.12783,273.622,0.0404588
331,878.922,68.9984,5.80391,152.01,0.0478238
332,878.922,68.9984,5.80391,276.467,0.0478238
333,884.956,436.44,4.989,48.6327,0.0371548
334,888.788,77.8142,13.2394,109.156,0.0677875
335,891.73,305.185,6.12519,233.887,0.0667581
336,891.73,305.185,6.12519,305.717,0.0667581
337,891.768,429.721,5.45673,40.47,0.0362757
338,892.155,316.201,11.8373,142.173,0.0968597
339,901.857,75.2929,6.85779,315.001,0.0296922
340,902.694,401.96,12.1111,202.505,0.0986009
341,904.146,319.236,8.14214,344.896,0.0715776
342,905.787,413.968,7.68132,70.668,0.0653377
343,913.932,393.504,7.86692,2.98805,0.085769
344,913.932,393.504,7.86692,267.391,0.085769
345,920.174,1291.97,10.3604,93.759,0.054038
346,920.174,1291.97,10.3604,217.769,0.054038
347,921.363,440.201,32.2982,269.75,0.0368007
348,921.635,283.729,5.32002,245.216,0.0367108
349,927.775,1301.86,8.6999,223.892,0.076164
350,931.612,90.0925,5.90858,300.887,0.0234465
351,936.254,1293.84,4.66461,28.9186,0.068318
352,937.426,1299.86,4.12854,37.7452,0.0606518
353,937.426,1299.86,4.12854,304.001,0.0606518
354,940.021,832.651,5.7819,224.336,0.0683931
355,940.021,832.651,5.7819,315.119,0.0683931
356,940.448,841.817,8.69973,45.6189,0.100137
357,940.448,841.817,8.69973,129.458,0.100137
358,942.311,1311.24,6.80712,317.817,0.0760544
359,942.311,1311.24,6.80712,358.564,0.0760544
360,947.109,1297.09,12.0652,340.658,0.051158
361,950.352,718.705,8.40323,69.3728,0.0822619
362,950.352,718.705,8.40323,174.008,0.0822619
363,954.194,806.627,8.72074,183.822,0.0570713
364,958.305,706.079,11.66,240.161,0.0704298
365,959.314,465.201,4.81954,256.597,0.0303084
366,962.819,744.653,12.3221,179.353,0.0792278
367,963.197,478.469,4.59456,71.2803,0.0269458
368,968.764,737.208,5.44699,278.355,0.0288083
369,968.764,737.208,5.44699,342.635,0.0288083
370,969.129,707.008,5.99337,13.5102,0.0371847
371,969.129,707.008,5.99337,47.0655,0.0371847
372,969.816,475.587,3.03357,70.0359,0.0220746
373,970.36,787.567,5.98495,221.505,0.0807588
374,970.36,787.567,5.98495,348.926,0.0807588
375,971.083,816.381,7.02566,39.791,0.0781856
376,972.717,338.442,62.5435,161.238,0.0546827
377,975.48,726.103,12.64,260.778,0.0270938
378,979.624,717.745,17.1797,36.6875,0.0288273
379,979.624,717.745,17.1797,242.335,0.0288273
380,979.806,812.882,6.54544,141.691,0.105035
381,979.806,812.882,6.54544,317.233,0.105035
382,980.01,457.042,4.51509,240.44,0.0294641
383,980.217,426.019,26.355,234.102,0.0438176
384,980.484,801.954,6.96514,27.9403,0.067258
385,982.258,697.07,5.00515,51.7163,0.0252712
386,986.264,452.867,4.43365,232.627,0.0285001
387,986.925,147.925,5.69065,330.04,0.0220814
388,989.821,764.727,3.12337,231.321,0.0301617
389,991.901,770.176,6.38167,26.5461,0.0955164
390,993.757,469.427,6.87161,99.0766,0.0588559
391,993.969,469.916,7.42034,95.5022,0.0588864
392,995.271,457.154,13.3549,230.602,0.0802624
393,1002.08,554.741,81.6668,211.054,0.0218871
394,1003.19,734.765,6.22744,240.107,0.0258042
395,1006.13,678.268,5.04337,49.9072,0.0232715
396,1006.26,796.188,28.8134,7.56058,0.0591926
397,1007.18,455.988,6.43132,17.2145,0.0637551
398,1007.18,455.988,6.43132,303.653,0.0637551
399,1008.31,425.197,10.2885,179.88,0.0771509
400,1008.37,760.933,13.5921,102.165,0.0661439
401,1009.54,466.712,7.32348,117.111,0.0803805
402,1009.54,466.712,7.32348,299.914,0.0803805
403,1009.95,743.241,10.5071,103.691,0.0763163
404,1011.52,246.488,7.77095,135.976,0.0767769
405,1013.01,360.574,14.6741,184.43,0.159314
406,1013.99,863.884,11.2455,150.795,0.102009
407,1015.48,411.797,7.91102,229.126,0.0886881
408,1015.48,411.797,7.91102,327.063,0.0886881
409,1015.56,649.854,4.78837,221.935,0.0368195
410,1015.67,452.897,12.8423,4.99233,0.093521
411,1015.67,452.897,12.8423,179.345,0.093521
412,1016.4,240.665,5.32541,313.704,0.0321206
413,1017.57,852.322,8.02424,283.699,0.0677508
414,1017.57,852.322,8.02424,316.446,0.0677508
415,1017.96,390.479,21.0863,206.939,0.0813001
416,1017.96,390.479,21.0863,295.475,0.0813001
417,1020.42,286.144,9.86007,187.38,0.0817379
418,1020.42,286.144,9.86007,295.707,0.0817379
419,1022.13,739.781,7.96385,37.6791,0.0716352
420,1022.13,739.781,7.96385,325.403,0.0716352
421,1023.94,756.937,8.32691,146.847,0.0954308
422,1023.94,756.937,8.32691,329.831,0.0954308
423,1024.27,301.902,10.9919,131.992,0.082373
424,1024.34,869.887,6.47334,342.246,0.0854144
425,1025.18,711.085,5.02686,224.175,0.0190249
426,1025.43,840.772,19.2507,168.859,0.0665471
427,1025.43,840.772,19.2507,309.855,0.0665471
428,1025.5,472.369,10.8235,120.281,0.0745856
429,1025.64,604.976,2.78569,277.455,0.0147998
430,1027.78,614.704,7.58923,306.095,0.082258
431,1030.24,629.327,7.19328,143.765,0.0577598
432,1030.24,629.327,7.19328,215.212,0.0577598
433,1031.01,629.297,6.5781,136.942,0.0581923
434,1031.01,629.297,6.5781,214.291,0.0581923
435,1031.17,420.622,6.20191,351.258,0.0364529
436,1034.66,303.094,5.91708,14.1644,0.0370764
437,1034.66,303.094,5.91708,329.705,0.0370764
438,1035.38,700.375,3.9643,230.357,0.0158899
439,1035.65,468.972,6.62785,316.512,0.0362201
440,1035.68,647.155,4.93889,39.7374,0.0247834
441,1039.83,849.871,7.73961,177.864,0.0768771
442,1039.83,849.871,7.73961,249.609,0.0768771
443,1040.41,1003.09,6.81042,126.874,0.112639
444,1041.01,850.733,6.61104,178.256,0.0769224
445,1041.01,850.733,6.61104,249.76,0.0769224
446,1042.37,316.104,4.4364,329.885,0.0256466
447,1044.55,616.25,7.63744,297.386,0.0408863
448,1047.18,636.267,6.69933,82.8039,0.0346785
449,1047.64,393.539,5.4602,20.2486,0.025058
450,1047.73,857.472,8.84417,69.6355,0.107719
451,1048.27,997.995,5.63678,173.396,0.0867837
452,1048.27,997.995,5.63678,284.416,0.0867837
453,1049.09,480.838,4.92457,308.744,0.0265206
454,1052.55,710.58,9.95868,58.9871,0.0602327
455,1052.55,710.58,9.95868,99.3192,0.0602327
456,1053.74,577.53,3.80005,178.971,0.0210216
457,1054.12,660.722,25.5275,236.649,0.0209037
458,1056.97,564.109,4.16572,207.233,0.0208864
459,1057.19,690.777,4.49643,280.231,0.0155384
460,1057.39,1007.47,17.1463,125.353,0.099539
461,1058.01,487.579,4.83313,309.722,0.0247414
462,1059.54,527.971,2.8251,96.7985,0.0143071
463,1061.14,510.791,6.188,138.456,0.072379
464,1063.1,519.969,5.78545,62.2469,0.0786455
465,1063.15,555.634,3.18649,221.597,0.0188504
466,1064,589.557,3.96204,100.882,0.0194145
467,1066.29,995.3,8.24282,265.156,0.0815056
468,1066.29,995.3,8.24282,340.832,0.0815056
469,1066.64,494.758,5.03128,310.376,0.024769
470,1067.66,572.291,18.1895,204.3,0.099316
471,1068.58,606.862,21.0188,282.251,0.0504355
472,1070.43,523.208,5.39271,59.1713,0.0482439
473,1070.66,693.235,7.39708,275.938,0.0278656
474,1072.18,511.143,10.3023,62.4594,0.0738508
475,1072.36,1013.05,6.02069,68.2355,0.0476621
476,1072.36,1013.05,6.02069,317.922,0.0476621
477,1075.25,501.581,5.96351,259.649,0.0371436
478,1075.25,501.581,5.96351,301.589,0.0371436
479,1076.85,704.186,13.1742,110.481,0.0690207
480,1077.7,548.734,5.35527,26.9586,0.0717752
481,1077.7,548.734,5.35527,242.179,0.0717752
482,1079.47,557.911,5.91939,339.502,0.0505624
483,1080.01,584.263,4.3288,33.6882,0.0283326
484,1081.37,542.889,2.08459,291.403,0.0156452
485,1084.44,1307.81,5.23979,103.39,0.0285554
486,1090.65,664.117,104.831,69.4453,0.0376474
487,1091.31,702.348,7.67202,47.1955,0.0568452
488,1092.07,1029.82,4.85972,310.069,0.0268609
489,1096.92,530.272,25.6379,76.9646,0.0503526
490,1096.92,530.272,25.6379,208.56,0.0503526
491,1098.45,613.793,5.08397,22.6534,0.0254239
492,1105.41,584.708,5.4666,15.859,0.0293213
493,1105.57,670.539,5.02075,231.365,0.0182371
494,1106.94,516.421,10.1456,103.482,0.0618244
495,1109.39,496.216,5.55344,286.894,0.0232093
496,1112.72,665.656,5.09103,234.078,0.0199047
497,1127.06,748.329,6.88251,125.292,0.0500942
498,1127.73,728.258,5.74551,310.264,0.0295943
499,1130.19,1067.83,5.41779,319.826,0.0275509
500,1135.67,647.631,5.54496,230.921,0.0194857
501,1139.73,737.581,5.98255,314.434,0.0436784
502,1144.76,641.708,4.29364,230.554,0.0187775
503,1152.51,1097.58,4.68489,325.92,0.0282102
504,1167.1,1119.3,5.10957,329.354,0.0269968
505,1201.22,1187.97,5.48479,340.051,0.0258763
506,1203.89,593.277,5.27423,229.7,0.0200525
507,1225.13,594.408,5.13065,49.8519,0.0323503
508,1233.42,900.313,8.45308,181.29,0.0592615
509,1234.07,850.796,4.19672,331.677,0.034621
510,1241.58,560.27,5.14882,229.683,0.018584
511,1241.67,879.493,11.8878,165.333,0.0843269
512,1244.22,867.3,6.42329,230.381,0.0813438
513,1244.22,867.3,6.42329,327.235,0.0813438
514,1248.21,554.317,5.59239,229.463,0.0173958
515,1250.67,884.073,6.15591,5.20016,0.0370662
516,1250.67,884.073,6.15591,27.4557,0.0370662
517,1258.08,545.761,5.13742,228.923,0.0196052
518,1260.87,563.044,5.41895,49.7441,0.0300141
519,1277.16,501.855,81.6232,39.5595,0.0323533
520,1292.38,513.135,4.15006,226.659,0.0234301
521,1298.06,812.282,5.23668,220.295,0.0442944
522,1298.99,505.729,5.32708,224.609,0.0189372
523,1306.87,824.474,5.14789,43.4691,0.0273901
524,1308.56,494.626,6.06495,190.98,0.0256919
525,1308.56,494.626,6.06495,210.382,0.0256919
526,1332.96,400.871,4.73894,229.142,0.0184128
527,1344.23,782.963,4.75829,40.5791,0.0276626
528,1346.75,390.74,5.65313,221.568,0.0240467
529,1351.14,775.118,4.96844,40.1994,0.0267929
530,1355.27,374.592,6.06421,214.473,0.0283464
531,1356.68,474.964,15.6327,143.256,0.0309118
532,1357.95,392.414,13.293,73.4581,0.0561886
533,1360.31,503.314,32.0354,13.9335,0.0337693
534,1366.54,458.103,7.35891,158.456,0.0906354
535,1366.54,458.103,7.35891,317.023,0.0906354
536,1368.26,384.59,6.76818,26.2893,0.0562029
537,1368.26,384.59,6.76818,273.27,0.0562029
538,1369.93,383.555,7.82356,275.797,0.0562891
539,1388.69,540.002,7.98757,18.122,0.0911563
540,1388.69,540.002,7.98757,182.04,0.0911563
541,1391.03,339.158,5.04035,242.938,0.0220446
542,1397.09,501.951,5.93023,132.42,0.0651396
543,1397.09,501.951,5.93023,210.098,0.0651396
544,1407.97,500.564,10.8271,289.798,0.084369
545,1413.69,509.488,6.9213,58.562,0.0510733
546,1413.69,509.488,6.9213,80.7894,0.0510733
547,1413.82,510.3,7.64579,60.4568,0.0514164
548,1414.64,374.783,24.4142,75.8263,0.0478241
549,1417.84,397.203,6.45637,213.203,0.0670935
550,1417.84,397.203,6.45637,294.069,0.0670935
551,1421.43,408.254,11.2011,127.869,0.0774771
552,1430.01,373.649,8.62187,218.671,0.0437076
553,1430.74,336.397,4.70751,288.618,0.0244354
554,1432.01,408.081,6.3735,6.01543,0.0454761
555,1432.01,408.081,6.3735,330.923,0.0454761
556,1438.37,671.555,5.26458,39.8439,0.0256323
557,1439.9,419.715,4.4188,321.198,0.0262486
558,1443.39,664.203,4.39982,39.7958,0.0263947
559,1446.08,362.401,6.05783,137.084,0.0512235
560,1446.08,362.401,6.05783,218.151,0.0512235
561,1447.91,426.936,6.31647,326.558,0.0402348
562,1447.92,501.902,6.85517,67.9042,0.0631984
563,1447.92,501.902,6.85517,146.523,0.0631984
564,1451.48,489.777,12.2103,213.584,0.0780303
565,1456.52,364.265,9.75637,69.7618,0.0581002
566,1457.23,458.242,11.2505,170.219,0.078608
567,1458.33,444.919,6.07438,226.753,0.0723255
568,1458.33,444.919,6.07438,327.348,0.0723255
569,1459.8,356.564,4.94945,264.978,0.0377662
570,1464.4,500.934,4.09416,328.125,0.0289675
571,1474.66,505.812,8.21937,307.727,0.0444678
572,1475.52,369.23,5.82515,94.7678,0.0344069
573,1478.62,400.272,31.0841,82.7437,0.0527642
574,1486.68,398.239,27.2078,89.4354,0.0524473
575,1486.68,398.239,27.2078,234.077,0.0524473
576,1488.17,490.535,25.6986,12.6596,0.0455416
577,1488.17,490.535,25.6986,218.295,0.0455416
578,1500.05,362.691,5.05975,300.57,0.0248429
579,1504.32,383.359,3.26397,138.436,0.0237557
580,1508.99,504.693,3.29184,89.7735,0.027925
581,1512.89,488.81,5.35417,237.237,0.0388504
582,1513.71,373.958,5.42526,319.669,0.0251116
583,1515.77,405.675,6.55969,161.172,0.0680208
584,1515.77,405.675,6.55969,249.625,0.0680208
585,1525.25,411.559,10.5012,98.4767,0.0606398
586,1533.57,406.787,6.13211,309.287,0.033087
587,1534.5,484.497,13.0002,10.385,0.0882153
588,1534.5,484.497,13.0002,227.677,0.0882153
589,1535.45,449.992,26.9785,103.745,0.0457545
590,1541.45,471.091,6.13554,12.4215,0.0844812
591,1541.45,471.091,6.13554,227.895,0.0844812
592,1544.32,429.686,4.1641,128.231,0.0271395
593,1545.09,479.215,5.44318,10.1815,0.045282
594,1548.89,466.346,4.28522,334.255,0.0165072
595,1551.73,441.583,8.03892,140.117,0.0448458
596,1554.79,420.241,5.34349,310.686,0.0245834
597,1569.38,518.362,5.11788,20.3897,0.0279988
598,1573,508.549,5.13129,19.9636,0.0262047
